Hards Fabien Male Aquamarine 6/12/1985
Simoneschi Emmye Female Pink 11/4/2004
Yellowlees Roberta Female Aquamarine 9/21/1963
Bonnaire Angelica Female Purple 3/18/1974
Bonnor Tammie Male Mauv 9/13/1994
Forman Lelia Female Teal 7/16/1960
Brosel Kalina Female Blue 8/11/1993
Girtin Lawrence Male Orange 7/24/1998
Ducker Konstanze Female Turquoise 12/19/1971
Bussons Nikolai Male Pink 2/3/2007
Schubuser Richmound Male Pink 8/25/1991
Piddington Romain Male Yellow 8/10/1975
Chiplin Kandy Female Purple 8/28/2010
Neilson Carlie Female Teal 8/18/1999
Burker Phedra Female Khaki 5/27/2006
Clemencet Laurel Female Blue 1/14/1998
Dodd Babette Female Crimson 6/24/1993
Chestney Jerrilee Female Teal 6/9/1999
Bradshaw Cash Male Mauv 5/25/1969
Delcastel Lovell Male Mauv 4/19/1989
Tilling Megan Female Red 6/13/2009
MacCrackan Willdon Male Green 6/15/1999
Stanistrete Sioux Female Aquamarine 10/24/1986
Gniewosz Norby Male Red 2/22/1984
Joice Kaja Female Indigo 8/13/2000
Francello Constancia Female Pink 1/30/2001
Harder Jacklin Female Pink 2/3/2005
Foukx Adelina Female Aquamarine 11/8/1999
Davidovitz Birgit Female Blue 4/16/1983
McCrohon Raine Female Purple 12/15/1992
Ord Gusty Female Turquoise 9/2/1974
Coleman Ara Male Fuscia 5/24/2004
Cahey Banky Male Puce 3/21/1961
Nussey Vic Male Blue 4/10/1996
Scarfe Emlyn Male Goldenrod 11/17/1992
Pudan Ancell Male Fuscia 4/4/1970
Kosiada Avictor Male Indigo 11/22/1988
Colville Melamie Female Blue 4/3/1980
Dillaway Natale Male Goldenrod 4/12/1967
Geal Lila Female Red 12/2/1988
Island Catina Female Mauv 1/15/1964
Saenz Cassaundra Female Khaki 10/30/1962
Fritz Melisande Female Yellow 11/22/1976
Laverty Devlen Male Blue 9/26/2003
Addinall Ken Male Maroon 1/23/1964
Abbatt Rusty Male Turquoise 5/13/1996
Standing Robinson Male Indigo 6/21/1960
Eickhoff Celeste Female Yellow 5/5/1993
Innman Bridgette Female Aquamarine 6/21/1976
Blumire Harwilll Male Yellow 9/27/1974
Ebourne Haydon Male Purple 4/21/1964
Mynett Ingrid Female Crimson 8/22/1979
Bickerdike Rea Female Turquoise 2/17/1973
Worwood Darsie Female Mauv 11/2/1970
Chong Armando Male Pink 11/5/2005
Kuhndel Adolphus Male Pink 1/23/1981
Scotsbrook Flin Male Turquoise 3/24/1961
Tarborn Hermy Male Khaki 3/7/1997
Bellfield Sumner Male Indigo 11/1/1979
Stapford Erin Male Red 7/5/1984
Tonks Abraham Male Red 5/1/2010
Linggood Austin Male Green 12/17/1967
Warricker Catlee Female Khaki 6/30/1963
Crisall Crista Female Fuscia 3/3/1990
Novelli Curt Male Khaki 4/12/1986
Moulson Nadean Female Fuscia 8/8/1962
Camoletto Hughie Male Mauv 12/16/2009
Liddell Jolie Female Green 9/15/2005
Ranson Evin Male Red 6/30/1991
Threadkell Charlot Female Fuscia 10/5/1996
Love Gwyn Female Fuscia 2/16/1992
Steventon Orelee Female Yellow 2/27/2000
Selwyne Elicia Female Yellow 1/31/2002
Hows Titos Male Goldenrod 5/30/1984
Ledamun Dore Male Violet 2/28/1978
Brim Gerardo Male Purple 1/12/1978
Brookesbie Sascha Female Blue 7/27/1960
Piddington Harlin Male Violet 12/21/1991
Craft Lydia
McCaffery Anatollo Male Puce 8/1/1962
Smaleman Zacharie Male Turquoise 2/24/1993
Milmoe Janna Female Blue 2/26/1969
Gypson Harcourt Male Aquamarine 4/17/1977
Matuschek Weylin Male Goldenrod 3/10/1964
Valenti Christalle Female Red 3/1/1995
Cassedy Vitia Female Yellow 6/10/2003
Starmer Yoshi Female Aquamarine 5/15/1993
Gatlin Theda Female Maroon 6/22/2005
Chapleo Carlen Female Green 1/6/1966
Gaythor Damian Male Purple 12/31/1985
Windybank Emmeline Female Turquoise 3/19/1984
Polgreen Gregg Male Aquamarine 9/21/1980
Diggles Grenville Male Goldenrod 9/21/1987
Larway Gerhard Male Mauv 7/13/2008
Bagnold Westley Male Indigo 5/23/2004
Othen Margy Female Puce 4/30/1984
Barke Euphemia Female Indigo Indigo 8/9/1987
Wagon Isador Male Purple 9/7/1977
Jolland Clementine Female Indigo 10/10/1964
Gronou Tatum Female Orange 7/26/1988
